Endpoint,readTimestamp,rssi,tagMac,isMotion
5f839492-5ace-11e9-9769-001d054d25e2,16:33:25,-66,0x27ffaf,true
5f839492-5ace-11e9-9769-001d054d25e2,16:33:25,-69,0xa15545,true
5f839492-5ace-11e9-9769-001d054d25e2,16:33:25,-68,0xa15537,true
1fc6a334-5acf-11e9-94a9-001d054d25e2,16:33:28,-60,0x27ffaf,true
1fc6a334-5acf-11e9-94a9-001d054d25e2,16:33:28,-56,0xa15545,true
1fc6a334-5acf-11e9-94a9-001d054d25e2,16:33:28,-63,0xa15537,true
74456644-5ace-11e9-83b9-001d054d25e2,16:33:27,-49,0x27ffaf,true
74456644-5ace-11e9-83b9-001d054d25e2,16:33:27,-46,0xa15545,true
74456644-5ace-11e9-83b9-001d054d25e2,16:33:27,-49,0xa15537,true
5ebce76a-0646-11ea-b53b-001d054d25e2,16:33:27,-69,0x27ffaf,true
5ebce76a-0646-11ea-b53b-001d054d25e2,16:33:27,-63,0xa15537,true
28bf8cde-5ad0-11e9-9334-001d054d25e2,16:33:28,-70,0xa15537,true
22cd0394-5ace-11e9-b0e9-001d054d25e2,16:33:28,-68,0xa15537,true
052fb5f6-5acf-11e9-9fa4-001d054d25e2,16:33:27,-67,0xa15537,true
494e2566-5ace-11e9-a61c-001d054d25e2,16:33:28,-70,0x27ffaf,true
494e2566-5ace-11e9-a61c-001d054d25e2,16:33:28,-63,0xa15537,true
494e2566-5ace-11e9-a61c-001d054d25e2,16:33:28,-69,0xa15545,true
f618574a-5acd-11e9-8f7d-001d054d25e2,16:33:27,-61,0x27ffae,false
b1ee0b5e-5ace-11e9-b699-001d054d25e2,16:33:26,-64,0xa15537,true
b1ee0b5e-5ace-11e9-b699-001d054d25e2,16:33:26,-66,0xa15545,true
ed7ace28-5ace-11e9-a433-001d054d25e2,16:33:27,-61,0xa15545,true
57e21042-5ace-11e9-be00-001d054d25e2,16:33:28,-64,0x27ffaf,true
57e21042-5ace-11e9-be00-001d054d25e2,16:33:28,-62,0xa15545,true
57e21042-5ace-11e9-be00-001d054d25e2,16:33:28,-62,0xa15537,true
